id,calendar_date,week_day,holiday
47171,3/24/2019,Sunday,0
47172,3/25/2019,Monday,0
47173,3/26/2019,Tuesday,0
47174,3/27/2019,Wednesday,0
47175,3/28/2019,Thursday,0
47176,3/29/2019,Friday,0
47177,3/30/2019,Saturday,0
47178,3/31/2019,Sunday,0
47179,4/1/2019,Monday,0
47180,4/2/2019,Tuesday,0
47181,4/3/2019,Wednesday,0
47182,4/4/2019,Thursday,0
47183,4/5/2019,Friday,0
47184,4/6/2019,Saturday,0
47185,4/7/2019,Sunday,0
47186,4/8/2019,Monday,0
47187,4/9/2019,Tuesday,0
47188,4/10/2019,Wednesday,0
47189,4/11/2019,Thursday,0
47190,4/12/2019,Friday,0
47191,4/13/2019,Saturday,0
47192,4/14/2019,Sunday,0
47193,4/15/2019,Monday,0
47194,4/16/2019,Tuesday,0
47195,4/17/2019,Wednesday,0
47196,4/18/2019,Thursday,0
47197,4/19/2019,Friday,1
47198,4/20/2019,Saturday,0
47199,4/21/2019,Sunday,1
47200,4/22/2019,Monday,0
47201,4/23/2019,Tuesday,0
47202,4/24/2019,Wednesday,0
47203,4/25/2019,Thursday,0
47204,4/26/2019,Friday,0
47205,4/27/2019,Saturday,0
47206,4/28/2019,Sunday,0
47207,4/29/2019,Monday,0
47208,4/30/2019,Tuesday,0
47209,5/1/2019,Wednesday,1
47210,5/2/2019,Thursday,0
47211,5/3/2019,Friday,0
47212,5/4/2019,Saturday,0
47213,5/5/2019,Sunday,0
47214,5/6/2019,Monday,0
47215,5/7/2019,Tuesday,0
47216,5/8/2019,Wednesday,0
47217,5/9/2019,Thursday,0
47218,5/10/2019,Friday,0
47219,5/11/2019,Saturday,0
47220,5/12/2019,Sunday,0
47221,5/13/2019,Monday,0
47222,5/14/2019,Tuesday,0
47223,5/15/2019,Wednesday,0
47224,5/16/2019,Thursday,0
47225,5/17/2019,Friday,0
47226,5/18/2019,Saturday,0
47227,5/19/2019,Sunday,0
47228,5/20/2019,Monday,0
47229,5/21/2019,Tuesday,0
47230,5/22/2019,Wednesday,0
47231,5/23/2019,Thursday,0
47232,5/24/2019,Friday,0
47233,5/25/2019,Saturday,0
47234,5/26/2019,Sunday,0
47235,5/27/2019,Monday,0
47236,5/28/2019,Tuesday,0
47237,5/29/2019,Wednesday,0
47238,5/30/2019,Thursday,0
47239,5/31/2019,Friday,0
47240,6/1/2019,Saturday,0
47241,6/2/2019,Sunday,0
47242,6/3/2019,Monday,0
47243,6/4/2019,Tuesday,0
47244,6/5/2019,Wednesday,0
47245,6/6/2019,Thursday,0
47246,6/7/2019,Friday,0
47247,6/8/2019,Saturday,0
47248,6/9/2019,Sunday,0
47249,6/10/2019,Monday,0
47250,6/11/2019,Tuesday,0
47251,6/12/2019,Wednesday,0
47252,6/13/2019,Thursday,0
47253,6/14/2019,Friday,0
47254,6/15/2019,Saturday,0
47255,6/16/2019,Sunday,0
47256,6/17/2019,Monday,0
47257,6/18/2019,Tuesday,0
47258,6/19/2019,Wednesday,0
47259,6/20/2019,Thursday,1
47260,6/21/2019,Friday,0
47261,6/22/2019,Saturday,0
47262,6/23/2019,Sunday,0
47263,6/24/2019,Monday,0
47264,6/25/2019,Tuesday,0
47265,6/26/2019,Wednesday,0
47266,6/27/2019,Thursday,0
47267,6/28/2019,Friday,0
47268,6/29/2019,Saturday,0
47269,6/30/2019,Sunday,0
47270,7/1/2019,Monday,0
47271,7/2/2019,Tuesday,0
47272,7/3/2019,Wednesday,0
47273,7/4/2019,Thursday,0
47274,7/5/2019,Friday,0
47275,7/6/2019,Saturday,0
47276,7/7/2019,Sunday,0
47277,7/8/2019,Monday,0
47278,7/9/2019,Tuesday,0
47279,7/10/2019,Wednesday,0
47280,7/11/2019,Thursday,0
47281,7/12/2019,Friday,0
47282,7/13/2019,Saturday,0
47283,7/14/2019,Sunday,0
47284,7/15/2019,Monday,0
47285,7/16/2019,Tuesday,0
47286,7/17/2019,Wednesday,0
47287,7/18/2019,Thursday,0
47288,7/19/2019,Friday,0
47289,7/20/2019,Saturday,0
47290,7/21/2019,Sunday,0
47291,7/22/2019,Monday,0
47292,7/23/2019,Tuesday,0
47293,7/24/2019,Wednesday,0
47294,7/25/2019,Thursday,0
47295,7/26/2019,Friday,0
47296,7/27/2019,Saturday,0
47297,7/28/2019,Sunday,0
47298,7/29/2019,Monday,0
47299,7/30/2019,Tuesday,0
47300,7/31/2019,Wednesday,0
47301,8/1/2019,Thursday,0
47302,8/2/2019,Friday,0
47303,8/3/2019,Saturday,0
47304,8/4/2019,Sunday,0
47305,8/5/2019,Monday,0
47306,8/6/2019,Tuesday,0
47307,8/7/2019,Wednesday,0
47308,8/8/2019,Thursday,0
47309,8/9/2019,Friday,0
47310,8/10/2019,Saturday,0
47311,8/11/2019,Sunday,0
47312,8/12/2019,Monday,0
47313,8/13/2019,Tuesday,0
47314,8/14/2019,Wednesday,0
47315,8/15/2019,Thursday,0
47316,8/16/2019,Friday,0
47317,8/17/2019,Saturday,0
47318,8/18/2019,Sunday,0
47319,8/19/2019,Monday,0
47320,8/20/2019,Tuesday,0
47321,8/21/2019,Wednesday,0
47322,8/22/2019,Thursday,0
47323,8/23/2019,Friday,0
47324,8/24/2019,Saturday,0
47325,8/25/2019,Sunday,0
47326,8/26/2019,Monday,0
47327,8/27/2019,Tuesday,0
47328,8/28/2019,Wednesday,0
47329,8/29/2019,Thursday,0
47330,8/30/2019,Friday,0
47331,8/31/2019,Saturday,0
47332,9/1/2019,Sunday,0
47333,9/2/2019,Monday,0
47334,9/3/2019,Tuesday,0
47335,9/4/2019,Wednesday,0
47336,9/5/2019,Thursday,0
47337,9/6/2019,Friday,0
47338,9/7/2019,Saturday,1
47339,9/8/2019,Sunday,0
47340,9/9/2019,Monday,0
47341,9/10/2019,Tuesday,0
47342,9/11/2019,Wednesday,0
47343,9/12/2019,Thursday,0
47344,9/13/2019,Friday,0
47345,9/14/2019,Saturday,0
47346,9/15/2019,Sunday,0
47347,9/16/2019,Monday,0
47348,9/17/2019,Tuesday,0
47349,9/18/2019,Wednesday,0
47350,9/19/2019,Thursday,0
47351,9/20/2019,Friday,0
47352,9/21/2019,Saturday,0
